extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap/bap_init_toplevel.mli,,,,0
min,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap_api/bap_api_attr.ml,,,,0
min,3,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap_api/bap_api_attr.mli,,,,0
min,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,plugins/beagle/beagle_main.mli,,,,0
min,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,plugins/cxxfilt/cxxfilt_main.mli,,,,0
max,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap/bap.mli,,,,11171
max,2,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,a40edbea-3913-406d-8390-477ade7c4062,6,6,file,src/strings.ml,,,,4553
max,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,a40edbea-3913-406d-8390-477ade7c4062,6,6,file,src/uigtk2.ml,,,,4315
max,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap_primus/bap_primus.mli,,,,4313
max,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap_core_theory/bap_core_theory.mli,,,,4106
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,58c53752-e561-4e0c-9dc3-2ddafc3f3050,6,6,file,doc.go,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,976f9520-4bd6-47d1-94b2-1bbad18f22e0,6,6,file,lib/bap/bap_init_toplevel.mli,,,,0
